brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,vehicle_age,avg_mpg,predicted_price,actual_minus_predicted,predicted_minus_actual,difference_pct_of_predicted,pricing_flag
audi,sq7 4.0t,2021.0,15288.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic,1.0,gasoline,four-wheel drive,15.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,black,glacier white metallic,70652.0,3.0,18.0,100320.07205148975,-29668.072051489755,29668.072051489755,-29.57341581280212,potentially_underpriced
mercedes-benz,m-class ml 63 amg,2015.0,50282.0,5.5l v8 32v gdi dohc twin turbo,5.5,7-speed automatic,1.0,gasoline,four-wheel drive,20.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,red,obsidian black metallic,37991.0,9.0,22.5,67372.62185813324,-29381.621858133236,29381.621858133236,-43.61062557429072,potentially_underpriced
porsche,macan gts,2020.0,13750.0,2.9l v6 24v gdi dohc twin turbo,2.9,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,19.0,23.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,dolomite silver metallic,69900.0,4.0,21.0,97022.30668531773,-27122.30668531773,27122.30668531773,-27.95471228414127,potentially_underpriced
audi,s7 4.0t quattro,2015.0,24387.0,4.0l v8 32v gdi dohc twin turbo,4.0,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,17.0,27.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,blue pearl,38997.0,9.0,22.0,65747.31944996092,-26750.319449960924,26750.319449960924,-40.686555244765685,potentially_underpriced
audi,a4 s line premium plus,2022.0,8950.0,intercooled turbo gas/electric i-4 2.0 l/121,2.0,automatic,1.0,hybrid,four-wheel drive,24.0,31.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gray,navarra blue metallic,39100.0,2.0,27.5,65623.66656769675,-26523.666567696753,26523.666567696753,-40.417836970958014,potentially_underpriced
alfa,romeo giulia quadrifoglio,2018.0,4410.0,2.9l v6 24v gdi dohc twin turbo,2.9,8-speed automatic,1.0,gasoline,rear-wheel drive,23.0,31.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black / red,rosso,48830.0,6.0,27.0,75301.65658085822,-26471.656580858224,26471.656580858224,-35.15414903579605,potentially_underpriced
mercedes-benz,amg glb 35 4matic,2021.0,9859.0,"amg 2l i-4 gasoline direct injection, dohc, variable valve contr",,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,black,cosmos black metallic,51490.0,3.0,,77628.81332282777,-26138.813322827773,26138.813322827773,-33.6715353539242,potentially_underpriced
alfa,romeo giulia ti lusso,2020.0,19975.0,2.0l 280hp i4 di turbo,2.0,automatic,1.0,gasoline,four-wheel drive,23.0,31.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,beige,black,35495.0,4.0,27.0,61267.913768187216,-25772.913768187216,25772.913768187216,-42.06592355290798,potentially_underpriced
hyundai,palisade sel,2021.0,33927.0,"lambda ii 3.8l v-6 gasoline direct injection, dohc, d-cvvt varia",,automatic,1.0,gasoline,four-wheel drive,20.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,light beige,becketts black,33990.0,3.0,22.5,59709.59883459035,-25719.598834590353,25719.598834590353,-43.07447937447997,potentially_underpriced
porsche,panamera,2020.0,17260.0,3.0l v6 24v gdi dohc turbo,3.0,8-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,19.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,marsala,white,73990.0,4.0,21.0,98975.63041965704,-24985.63041965704,24985.63041965704,-25.24422457701747,potentially_underpriced
porsche,taycan 4s,2020.0,12847.0,electric,,2-speed automatic,1.0,electric,four-wheel drive,17.0,25.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,black,carrara white metallic,95900.0,4.0,21.0,120726.9233328658,-24826.9233328658,24826.9233328658,-20.564529143522954,potentially_underpriced
porsche,cayenne,2023.0,3059.0,3.0l v6 24v gdi dohc turbo,3.0,automatic,1.0,gasoline,four-wheel drive,19.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,black,white,84900.0,1.0,21.0,109720.93244425682,-24820.932444256818,24820.932444256818,-22.621875235035002,potentially_underpriced
mercedes-benz,amg c 63 base,2018.0,38477.0,4.0l v8 32v gdi dohc twin turbo,4.0,7-speed automatic,1.0,gasoline,rear-wheel drive,18.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,red pepper,obsidian black metallic,51990.0,6.0,21.0,76755.79313513693,-24765.793135136933,24765.793135136933,-32.26569894409671,potentially_underpriced
porsche,panamera gts,2019.0,20584.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,18.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,night blue metallic,97570.0,5.0,21.0,122074.43220463225,-24504.43220463225,24504.43220463225,-20.07335341405127,potentially_underpriced
cadillac,cts-v base,2016.0,38910.0,6.2l v8 16v gdi ohv supercharged,6.2,8-speed automatic,1.0,gasoline,rear-wheel drive,18.0,27.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,jet black,black raven,63000.0,8.0,22.5,87264.72118294393,-24264.721182943933,24264.721182943933,-27.80587716779014,potentially_underpriced
porsche,cayenne turbo coupe awd,2022.0,6439.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic with tiptronic,1.0,gasoline,four-wheel drive,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,moonlight blue,146799.0,2.0,,170648.47348684224,-23849.47348684224,23849.47348684224,-13.97579069975164,within_20_percent
bmw,x6 xdrive50i,2009.0,63546.0,4.4l v8 32v gdi dohc twin turbo,4.4,6-speed automatic,1.0,gasoline,four-wheel drive,12.0,18.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,tan,white,15500.0,15.0,15.0,38735.236688761404,-23235.236688761404,23235.236688761404,-59.98475464460722,potentially_underpriced
porsche,boxster base (m5),2004.0,17578.0,2.7l h6 24v mpfi dohc,2.7,5-speed manual,0.0,gasoline,rear-wheel drive,20.0,28.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,arctic silver metallic,21995.0,20.0,24.0,44956.95971642127,-22961.95971642127,22961.95971642127,-51.07542827909254,potentially_underpriced
lexus,nx 350 f sport handling,2023.0,5355.0,2.4l i4 16v pdi dohc turbo,2.4,8-speed automatic,1.0,gasoline,four-wheel drive,19.0,30.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black,obsidian black,51000.0,1.0,24.5,73791.48983469672,-22791.489834696724,22791.489834696724,-30.886339177800657,potentially_underpriced
lexus,nx 350 luxury,2023.0,2746.0,2.4l i4 16v pdi dohc turbo,2.4,8-speed automatic,1.0,gasoline,four-wheel drive,21.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,caviar,50461.0,1.0,26.0,73238.94078764971,-22777.940787649713,22777.940787649713,-31.100860474883817,potentially_underpriced
porsche,macan turbo,2020.0,13551.0,2.9l v6 24v gdi dohc twin turbo,2.9,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,19.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,agate grey,dolomite silver metallic,74950.0,4.0,22.0,97630.55315132438,-22680.553151324377,22680.553151324377,-23.230999332934445,potentially_underpriced
bmw,750 li xdrive,2015.0,44807.0,4.4l v8 32v gdi dohc twin turbo,4.4,8-speed automatic,1.0,gasoline,four-wheel drive,16.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,black,gray,26999.0,9.0,20.0,49624.16565042371,-22625.16565042371,22625.16565042371,-45.59303991084942,potentially_underpriced
porsche,cayenne,2023.0,5020.0,3.0l v6 24v gdi dohc turbo,3.0,8-speed automatic with tiptronic,1.0,gasoline,four-wheel drive,18.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,black,dolomite silver metallic,83150.0,1.0,22.0,105694.79879380808,-22544.798793808077,22544.798793808077,-21.330092919509696,potentially_underpriced
land,rover discovery sport s,2023.0,4495.0,"2l i-4 gasoline direct injection, dohc, variable valve control,",2.0,automatic,1.0,gasoline,four-wheel drive,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,ebony,santorini black metallic,41490.0,1.0,,63187.62647332338,-21697.626473323377,21697.626473323377,-34.33841035710323,potentially_underpriced
porsche,panamera turbo,2017.0,40127.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,17.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,blue,75900.0,7.0,20.0,97493.64474064487,-21593.64474064487,21593.64474064487,-22.14877164361723,potentially_underpriced
porsche,cayenne awd,2020.0,14391.0,3.0l v6 24v gdi dohc turbo,3.0,8-speed automatic,1.0,gasoline,four-wheel drive,17.0,25.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,black,black,71990.0,4.0,21.0,93494.23106715536,-21504.231067155357,21504.231067155357,-23.000596744529854,potentially_underpriced
mitsubishi,lancer evolution gsr,2013.0,16336.0,2.0l i4 16v mpfi dohc turbo,2.0,5-speed manual,0.0,gasoline,four-wheel drive,24.0,30.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,black,gray pearl,35499.0,11.0,27.0,56893.970419917736,-21394.970419917736,21394.970419917736,-37.6049874213519,potentially_underpriced
lexus,nx 350 premium,2022.0,2304.0,"2.4l i-4 port/direct injection, dohc, variable valve control, in",2.4,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,black,grecian water,47498.0,2.0,,68696.24602307311,-21198.24602307311,21198.24602307311,-30.85793948035126,potentially_underpriced
land,rover range rover sport 5.0l supercharged dynamic,2018.0,42056.0,v8,,automatic,1.0,gasoline,four-wheel drive,14.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,vintage tan / ebony,santorini black,53771.0,6.0,16.5,74932.61128970762,-21161.611289707624,21161.611289707624,-28.240856584981017,potentially_underpriced
ford,utility police interceptor base,2014.0,100110.0,3.7l v6 24v mpfi dohc,3.7,6-speed automatic,1.0,unknown,four-wheel drive,16.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,charcoal,white,8993.0,10.0,18.5,30066.454042621965,-21073.454042621965,21073.454042621965,-70.08958892441525,potentially_underpriced
porsche,911 carrera s,2017.0,3044.0,3.0l h6 24v gdi dohc twin turbo,3.0,7-speed,0.0,gasoline,rear-wheel drive,16.0,24.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,black,gt silver metallic,111722.0,7.0,20.0,132137.41214663477,-20415.41214663477,20415.41214663477,-15.450137712686168,within_20_percent
ford,mustang mach-e select,2023.0,1000.0,electric,,automatic,1.0,electric,four-wheel drive,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,black onyx,carbonized gray metallic,41890.0,1.0,,62056.758111335024,-20166.758111335024,20166.758111335024,-32.497279466571825,potentially_underpriced
land,rover range rover sport 3.0l turbocharged diesel hse td6,2017.0,45015.0,3.0l v6 24v ddi dohc turbo diesel,3.0,8-speed automatic,1.0,diesel,four-wheel drive,14.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,almond / espresso / ivory,lorie blue,33800.0,7.0,16.5,53704.995226863604,-19904.995226863604,19904.995226863604,-37.06358252669016,potentially_underpriced
land,rover range rover sport supercharged,2013.0,72919.0,5.0l v8 32v gdi dohc supercharged,5.0,6-speed automatic,1.0,gasoline,four-wheel drive,22.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,almond / nutmeg,siberian silver,18941.0,11.0,25.0,38711.83360251707,-19770.833602517072,19770.833602517072,-51.07180870200775,potentially_underpriced
maserati,quattroporte s,2011.0,33116.0,4.7l v8 32v mpfi dohc,4.7,6-speed automatic,1.0,gasoline,rear-wheel drive,13.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,nero,nero,22698.0,13.0,16.5,42322.913034114754,-19624.913034114754,19624.913034114754,-46.369476076223584,potentially_underpriced
land,rover discovery se,2019.0,34362.0,v6,,automatic,1.0,gasoline,four-wheel drive,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ebony,fuji white,34613.0,5.0,,54232.36633457188,-19619.36633457188,19619.36633457188,-36.17648954046283,potentially_underpriced
porsche,macan turbo,2015.0,46019.0,"3.6l v-6 gasoline direct injection, dohc, variocam plus variable",3.6,automatic,1.0,gasoline,four-wheel drive,16.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,black,white,39795.0,9.0,19.5,59039.871873087446,-19244.871873087446,19244.871873087446,-32.596398438086666,potentially_underpriced
porsche,cayenne platinum edition,2017.0,52210.0,3.6l v6 24v gdi dohc,3.6,8-speed automatic,1.0,gasoline,four-wheel drive,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,white,36900.0,7.0,,55978.34643486078,-19078.34643486078,19078.34643486078,-34.081654157221855,potentially_underpriced
land,rover discovery sport standard,2020.0,16307.0,i4,,automatic,1.0,gasoline,four-wheel drive,18.0,24.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,ebony,eiger grey,31975.0,4.0,21.0,51024.52631704576,-19049.526317045762,19049.526317045762,-37.33405813251399,potentially_underpriced
mercedes-benz,amg c 63 s,2021.0,31049.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,rear-wheel drive,14.0,18.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,black,designo cardinal red metallic,69900.0,3.0,16.0,88935.61084606014,-19035.61084606014,19035.61084606014,-21.40381188701693,potentially_underpriced
chevrolet,tahoe rst,2023.0,4849.0,5.3l v8 16v gdi ohv,5.3,10-speed automatic with overdrive,1.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,jet black,black,68900.0,1.0,,87892.78934885483,-18992.78934885483,18992.78934885483,-21.609041526115007,potentially_underpriced
lexus,gs 350 base,2016.0,37500.0,"3.5l v-6 port/direct injection, dohc, vvt-i variable valve contr",3.5,automatic,1.0,gasoline,rear-wheel drive,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,noble brown,pearl white,31998.0,8.0,,50904.29488915677,-18906.294889156772,18906.294889156772,-37.140863910058876,potentially_underpriced
land,rover range rover evoque se premium,2016.0,27600.0,2.0l i4 16v gdi dohc turbo,2.0,9-speed automatic,1.0,gasoline,four-wheel drive,21.0,30.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,ebony / lunar,santorini black,26364.0,8.0,25.5,45220.75996219699,-18856.759962196993,18856.759962196993,-41.69934335017943,potentially_underpriced
porsche,718 spyder base,2021.0,1755.0,4.0l h6 24v gdi dohc,4.0,7-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,19.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,black,gt silver metallic,134800.0,3.0,23.0,153624.62131124208,-18824.62131124208,18824.62131124208,-12.253648634292528,within_20_percent
toyota,gr corolla core,2023.0,1975.0,1.6l i3 12v pdi dohc turbo,1.6,manual,0.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,black,black,46999.0,1.0,,65763.75114353231,-18764.75114353231,18764.75114353231,-28.533577871154897,potentially_underpriced
ford,explorer platinum,2019.0,30569.0,3.5l v6 24v gdi dohc twin turbo,3.5,6-speed automatic,1.0,gasoline,four-wheel drive,16.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,medium soft ceramic,burgundy velvet metallic tinted clearcoat,37800.0,5.0,19.0,56538.45594380901,-18738.455943809007,18738.455943809007,-33.142850527139096,potentially_underpriced
ford,ecosport s,2021.0,5167.0,1.0l i3 12v gdi dohc turbo,1.0,6-speed automatic,1.0,gasoline,front-wheel drive,27.0,29.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,medium stone,smoke metallic,21081.0,3.0,28.0,39651.270389570214,-18570.270389570214,18570.270389570214,-46.83398591550524,potentially_underpriced
toyota,tundra sr,2020.0,49592.0,5.7l v8 32v mpfi dohc,5.7,6-speed automatic,1.0,gasoline,rear-wheel drive,13.0,18.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,32456.0,4.0,15.5,50887.471587193475,-18431.471587193475,18431.471587193475,-36.220057731915304,potentially_underpriced
mercedes-benz,gle 580 awd 4matic,2021.0,27587.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,18.0,24.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,macchiato,silver,68286.0,3.0,21.0,86531.70764405168,-18245.707644051683,18245.707644051683,-21.085574456828507,potentially_underpriced
